tc,tc_float,ev,ev_min,ev_max,rank_count
0,0.27807486631016043,-0.39886176762674636,-0.4087748157311814,-0.0324401264391338,"{2: 12, 3: 17, 4: 12, 5: 18, 6: 14, 7: 13, 8: 14, 9: 13, 10: 62, 11: 12}"
-4,-4.656716417910448,-2.5161447438362443,-2.5318777163437183,-1.9728292172286122,"{2: 11, 3: 10, 4: 8, 5: 16, 6: 11, 7: 10, 8: 12, 9: 12, 10: 34, 11: 10}"
0,0.7428571428571428,0.0687633117900729,0.05727945434377444,0.4622617796796238,"{2: 21, 3: 23, 4: 22, 5: 19, 6: 20, 7: 22, 8: 23, 9: 21, 10: 88, 11: 21}"
17,17.333333333333336,18.521530150633176,18.498525350943332,18.756629074425504,"{2: 5, 3: 0, 4: 0, 5: 0, 6: 2, 7: 0, 8: 1, 9: 5, 10: 11, 11: 6}"
17,17.93103448275862,11.313866268991038,11.31158502806042,11.387110938392462,"{2: 0, 3: 2, 4: 1, 5: 4, 6: 0, 7: 2, 8: 1, 9: 2, 10: 15, 11: 2}"
0,0.5064935064935064,0.03498972621880121,0.02543036752404449,0.4140355427707957,"{2: 23, 3: 24, 4: 24, 5: 22, 6: 24, 7: 23, 8: 24, 9: 24, 10: 96, 11: 24}"
0,0.0,-0.33747839899435317,-0.34753190165609865,0.10504694907625571,"{2: 19, 3: 18, 4: 19, 5: 20, 6: 17, 7: 20, 8: 17, 9: 21, 10: 73, 11: 20}"
4,4.089887640449438,3.6061526743876775,3.5889677768825954,3.988002659919961,"{2: 7, 3: 8, 4: 6, 5: 3, 6: 9, 7: 7, 8: 4, 9: 5, 10: 32, 11: 8}"
-2,-2.6742857142857144,-1.238073698628747,-1.2469997876929937,-0.7565235311729892,"{2: 17, 3: 15, 4: 15, 5: 10, 6: 12, 7: 16, 8: 15, 9: 15, 10: 48, 11: 12}"
1,1.5145631067961165,0.699341521882256,0.6854970651428037,1.0628550623637996,"{2: 7, 3: 8, 4: 3, 5: 9, 6: 8, 7: 11, 8: 6, 9: 13, 10: 32, 11: 6}"
1,1.7808219178082194,1.1870341915323679,1.1740936417219505,1.5512338382615294,"{2: 12, 3: 9, 4: 8, 5: 10, 6: 15, 7: 11, 8: 11, 9: 11, 10: 51, 11: 8}"
-1,-1.421875,-0.7879401309326274,-0.7981475460173165,-0.37831050982858827,"{2: 20, 3: 23, 4: 19, 5: 19, 6: 21, 7: 18, 8: 20, 9: 21, 10: 77, 11: 18}"
-3,-3.3255813953488373,-1.337692911337541,-1.3475231176938745,-0.8701958341960274,"{2: 18, 3: 13, 4: 13, 5: 11, 6: 16, 7: 13, 8: 13, 9: 15, 10: 48, 11: 12}"
0,-0.9904761904761905,-1.1775327052552964,-1.1901148074551513,-0.763247488830364,"{2: 7, 3: 9, 4: 11, 5: 5, 6: 8, 7: 11, 8: 10, 9: 6, 10: 33, 11: 5}"
-7,-7.222222222222222,-4.138772816709872,-4.147376531593707,-3.700047415140121,"{2: 8, 3: 9, 4: 7, 5: 3, 6: 7, 7: 8, 8: 3, 9: 3, 10: 22, 11: 2}"
-4,-4.333333333333334,-3.2275439636597922,-3.237273786869987,-2.693677566884273,"{2: 10, 3: 8, 4: 14, 5: 12, 6: 9, 7: 11, 8: 5, 9: 8, 10: 35, 11: 8}"
0,-0.9352517985611511,-0.6726036491687384,-0.6822949926023604,-0.2212363915893446,"{2: 21, 3: 22, 4: 23, 5: 21, 6: 21, 7: 21, 8: 22, 9: 24, 10: 82, 11: 21}"
4,4.0,1.7519985838617795,1.73927891727938,2.1022035904635694,"{2: 4, 3: 2, 4: 3, 5: 5, 6: 5, 7: 6, 8: 4, 9: 0, 10: 18, 11: 5}"
0,0.0,0.317009177208999,0.2947810888055231,0.7610607937463898,"{2: 2, 3: 6, 4: 1, 5: 5, 6: 4, 7: 3, 8: 3, 9: 1, 10: 14, 11: 4}"
2,2.1443298969072164,0.8094530300828043,0.7999915201789477,1.188101828865632,"{2: 12, 3: 13, 4: 14, 5: 13, 6: 16, 7: 17, 8: 14, 9: 19, 10: 65, 11: 11}"
-4,-4.457142857142856,-2.120340577163302,-2.140477266757427,-1.8596810052416954,"{2: 6, 3: 7, 4: 5, 5: 5, 6: 7, 7: 4, 8: 8, 9: 4, 10: 24, 11: 0}"
0,0.0,1.215328800720343,1.1695296853005566,1.8100053948707433,"{2: 3, 3: 3, 4: 2, 5: 5, 6: 3, 7: 5, 8: 3, 9: 0, 10: 10, 11: 6}"
1,1.6,0.4495351908055599,0.4374908322215325,0.865152984970961,"{2: 19, 3: 19, 4: 18, 5: 19, 6: 18, 7: 22, 8: 22, 9: 22, 10: 81, 11: 20}"
5,5.6521739130434785,4.3074081749143245,4.290630444206444,4.655094117405801,"{2: 7, 3: 4, 4: 10, 5: 7, 6: 5, 7: 3, 8: 7, 9: 6, 10: 34, 11: 9}"
0,-0.41106719367588934,-0.3919296790813359,-0.40157068825861836,-0.02414657825674207,"{2: 16, 3: 22, 4: 20, 5: 21, 6: 20, 7: 16, 8: 20, 9: 21, 10: 78, 11: 19}"
-1,-1.9259259259259258,-1.127293354474055,-1.1403678384341094,-0.692324478440628,"{2: 5, 3: 5, 4: 6, 5: 7, 6: 8, 7: 7, 8: 9, 9: 6, 10: 23, 11: 5}"
0,0.0,-0.5460349997652768,-0.5548817071859511,-0.11931179407248461,"{2: 10, 3: 14, 4: 14, 5: 13, 6: 15, 7: 15, 8: 12, 9: 14, 10: 56, 11: 10}"
-2,-2.218009478672986,-1.1102665391162874,-1.1207536919670855,-0.5833676705394623,"{2: 19, 3: 19, 4: 18, 5: 12, 6: 19, 7: 17, 8: 15, 9: 14, 10: 60, 11: 18}"
15,15.166666666666666,12.39257871465905,12.390596642044786,12.449629614326199,"{2: 1, 3: 2, 4: 2, 5: 0, 6: 2, 7: 1, 8: 1, 9: 1, 10: 13, 11: 1}"
2,2.971428571428571,3.3741460321082104,3.350056190669416,3.7598338350198506,"{2: 10, 3: 5, 4: 6, 5: 2, 6: 4, 7: 5, 8: 6, 9: 1, 10: 26, 11: 5}"
1,1.9259259259259258,1.6264139284307975,1.6103850737131418,2.007755651693161,"{2: 9, 3: 6, 4: 7, 5: 11, 6: 5, 7: 5, 8: 9, 9: 14, 10: 34, 11: 8}"
-2,-2.3636363636363638,-1.0636114249856943,-1.0777552171677,-0.6115846080283477,"{2: 7, 3: 8, 4: 5, 5: 7, 6: 6, 7: 9, 8: 8, 9: 9, 10: 23, 11: 6}"
0,-0.5652173913043479,-0.07554916120665059,-0.08891099608756478,0.46531901224248645,"{2: 8, 3: 8, 4: 6, 5: 9, 6: 4, 7: 8, 8: 4, 9: 11, 10: 26, 11: 8}"
-1,-1.25,-1.1264833351739107,-1.1366550567214027,-0.7164113076192138,"{2: 17, 3: 17, 4: 14, 5: 18, 6: 17, 7: 17, 8: 16, 9: 14, 10: 64, 11: 14}"
7,7.090909090909091,5.637144349742042,5.618604390507994,5.950678319832379,"{2: 7, 3: 7, 4: 4, 5: 8, 6: 6, 7: 4, 8: 4, 9: 4, 10: 36, 11: 8}"
0,0.0,-0.2480309397400818,-0.25767403542247025,0.2202229976884886,"{2: 23, 3: 23, 4: 22, 5: 22, 6: 22, 7: 22, 8: 21, 9: 21, 10: 88, 11: 24}"
3,3.183673469387755,1.5652730283949514,1.553665282145445,1.9293090242037554,"{2: 7, 3: 6, 4: 8, 5: 6, 6: 6, 7: 8, 8: 9, 9: 9, 10: 31, 11: 8}"
