tc,tc_float,ev,ev_min,ev_max,n2,n3,n4,n5,n6,n7,n8,n9,n10,nA
-4,-4.415094339622642,-2.7561219682259734,-2.756122780336218,-2.7560697524508244,7,7,11,10,9,11,12,4,28,7
0,0.8156862745098039,0.25930108617808534,0.25930097333500723,0.2593577651479104,19,22,16,19,19,19,23,19,80,19
2,2.84375,1.5981427032919833,1.598142574056849,1.5982120862101554,10,6,8,11,10,8,12,11,40,12
0,0.6933333333333334,0.27377831034339606,0.27377816222780044,0.2738666419670523,20,18,18,15,15,17,17,16,71,18
0,0.1933085501858736,-0.03895367321061578,-0.03895382270161182,-0.03889875995757807,20,23,22,18,19,20,22,22,84,19
-1,-1.452513966480447,-0.5315932747117205,-0.5315935434491587,-0.5315437087651691,15,14,16,14,14,11,12,15,52,16
5,5.571428571428572,9.7300623696232,9.730061860738074,9.7300943138968,5,3,0,2,0,1,2,2,8,5
-1,-1.4344827586206896,-0.9286871904419568,-0.9286875691213811,-0.9286023633686737,24,23,23,24,23,20,22,22,87,22
12,12.380952380952381,10.676000956926245,10.676000956926245,10.676001713782375,1,0,2,0,3,2,1,1,8,3
0,0.0,0.7216971138175862,0.7216966038301026,0.7217349522579259,4,5,4,1,5,6,4,3,15,4
4,4.0,4.566650414038833,4.56665017061648,4.56666046551327,1,2,1,1,4,2,3,1,9,2
0,0.7482014388489209,0.7032101031198548,0.7032095857094267,0.7032587149217568,12,10,9,14,9,6,12,11,43,13
0,-0.5631768953068592,-0.6288576822982185,-0.6288579301235933,-0.6287759960990668,21,24,23,21,19,22,22,20,84,21
-4,-4.333333333333333,-0.38832804926737763,-0.388330857567766,-0.3882512568133987,3,7,2,5,5,4,1,3,12,6
5,5.416666666666666,4.548863243334017,4.548863211173792,4.5488912474526675,6,5,2,2,0,5,4,4,17,3
12,12.170212765957446,6.3256544923434195,6.32565265235024,6.32567146223215,2,0,2,2,4,8,3,5,16,5
0,0.0,-0.06692831672402197,-0.06692858238761189,-0.06684195536307498,14,19,17,15,13,14,13,15,61,17
-2,-2.7209302325581395,-1.77781923258835,-1.7778195843338171,-1.7777692661876967,16,14,16,14,13,12,12,11,53,11
3,3.5135135135135136,1.5664511834062134,1.5664510806736942,1.5664978431299217,3,7,7,5,3,8,3,8,23,7
-1,-1.4311926605504586,-1.3921489617091787,-1.3921494266463708,-1.3921126032011277,8,7,10,11,9,7,10,5,35,7
0,0.3795620437956204,-0.17097978287657392,-0.17097993719848273,-0.17091515436905547,21,21,23,21,18,21,22,21,86,20
0,-0.4792626728110599,-0.601068250179318,-0.6010685679628409,-0.6010144777311319,14,17,21,14,17,18,18,17,66,15
-2,-2.4860557768924303,-1.6980105985086686,-1.698011082372416,-1.697955918023937,19,19,21,22,22,18,21,18,75,16
1,1.7333333333333334,2.4216709358648334,2.421670686371373,2.421701941238768,7,2,4,6,3,2,5,7,19,5
0,0.0,-0.4651069266773747,-0.46510703858371744,-0.4650624478854855,10,10,13,13,8,11,14,14,46,8
0,0.4369747899159664,-0.00958143468214392,-0.00958173774017117,-0.0095252199868059,16,19,19,17,19,20,15,21,74,18
-1,-1.1685393258426966,-0.6265318398835437,-0.6265318588358676,-0.6264773949165345,7,8,6,6,6,8,9,8,27,4
-1,-1.5853658536585367,-1.0357073882899441,-1.0357077119980969,-1.0356318657513945,14,17,12,14,9,14,12,11,47,14
2,2.228571428571428,2.0642052972356155,2.0642050582521736,2.064269874745098,5,8,6,5,2,5,5,5,20,9
-2,-2.736842105263158,-2.3037118093967557,-2.303712247271363,-2.303665107651743,5,7,7,8,5,8,2,6,24,4
1,1.2807881773399015,0.2612384133240981,0.2612381396805256,0.26130074126307173,14,12,19,16,15,16,13,17,65,16
0,-0.4770642201834862,-0.29744518394415925,-0.29744539733572317,-0.29736393345983775,21,17,15,16,16,18,14,18,66,17
-3,-3.9000000000000004,-1.8215544435128785,-1.82155506256898,-1.821498044689955,6,12,10,11,11,7,12,10,32,9
2,2.1538461538461537,0.8337805636464789,0.8337803881385513,0.8338762826318116,12,17,9,13,10,15,14,11,53,15
-3,-3.4666666666666663,-1.6196086388282311,-1.6196115625344394,-1.61958054831597,2,2,7,5,1,4,3,7,11,3
0,-0.7222222222222222,-0.8157431889586465,-0.8157433834867861,-0.8157064475835089,6,6,5,7,5,6,5,4,23,5
-3,-3.872340425531915,-2.074746083360823,-2.074747037997367,-2.0746701033795127,16,14,14,17,17,16,13,17,50,14
-1,-1.019607843137255,0.16302650526937193,0.1630261975029871,0.16306938257725304,7,4,1,3,6,5,3,2,18,2
0,0.21224489795918366,-0.0172525301284393,-0.01725273001089987,-0.01717407712067158,21,19,19,19,17,16,21,17,77,19
-1,-1.4796747967479675,-0.7983230187427786,-0.7983233092742703,-0.7982378830383071,20,21,19,16,22,20,19,18,72,19
-2,-2.5454545454545454,-0.8892069351511341,-0.8892069782309281,-0.8891523974287624,15,13,10,10,7,12,15,13,39,9
0,-0.8873720136518771,-0.4430274172860888,-0.4430276835001119,-0.4429354081620551,24,24,21,22,24,21,24,23,86,24
0,0.42975206611570244,-0.5730989494706045,-0.5730991744088795,-0.5730451322892429,15,19,19,22,17,22,16,18,77,17
0,0.16828478964401294,-0.13310248343595682,-0.13310280048115405,-0.13303108085598986,24,24,23,24,24,23,23,24,96,24
0,-0.8221343873517787,-0.08521285635290088,-0.08521301202754201,-0.08514318451025828,22,20,20,14,23,18,21,20,76,19
0,-0.6887417218543047,-0.6415208100613256,-0.6415211764575722,-0.641437088193111,24,23,24,24,24,23,23,22,91,24
2,2.1666666666666665,4.55822407849506,4.5582233526339975,4.558255415647959,2,3,1,1,1,2,2,3,5,4
4,4.588235294117647,1.50930105891149,1.5093010323469092,1.5093343797370362,6,10,7,15,8,12,8,12,49,9
1,1.338235294117647,0.5973762897419059,0.5973759888092423,0.5974587297995668,20,20,22,18,22,21,19,21,86,23
0,0.9122807017543859,0.41138723559010115,0.41138703140483057,0.41145136467187976,22,21,21,21,23,20,21,23,91,22
1,1.829145728643216,0.6309096830015251,0.6309096431681739,0.6309526264409071,16,15,14,14,14,18,11,17,69,11
5,5.777777777777778,3.4923041655835867,3.492303839293948,3.4923191503716913,1,2,1,5,2,3,1,6,11,4
0,0.0,-0.1775059439309961,-0.1775061076006776,-0.1774284708425918,23,23,22,22,23,23,22,24,90,23
-1,-1.8245614035087718,-0.5988760176235598,-0.5988764446827275,-0.5988388311824459,5,4,5,5,5,3,4,4,18,4
1,1.3840304182509506,0.5069800023124463,0.5069798823996761,0.5070445117880231,20,20,22,18,20,20,17,19,87,20
0,-0.3714285714285714,-0.37487632433593243,-0.3748765609759956,-0.374789291647771,21,23,20,21,23,23,21,22,83,23
1,1.95,0.7411672623681713,0.7411670850006177,0.7412235909097924,10,13,11,13,9,15,13,14,46,16
2,2.2941176470588234,1.657447727328942,1.6574476163511414,1.6574957770294354,7,3,3,6,5,5,5,7,21,6
0,-0.1984732824427481,-0.369998113922821,-0.36999829391314826,-0.3699190334256217,22,22,19,20,18,21,21,19,80,20
4,4.273972602739726,1.9609308471485674,1.96093063587746,1.9609780976465983,13,5,12,7,12,15,12,9,49,12
-1,-1.752808988764045,-0.13360153467744537,-0.1336015502127702,-0.13356783201976172,10,11,6,6,5,6,4,6,31,4
3,3.25,3.632231323419389,3.632231247658348,3.6322649124832593,13,11,11,3,6,7,10,15,42,10
0,0.21576763485477177,-0.2201554388832616,-0.2201556496542394,-0.22010509107084258,20,17,19,18,18,19,19,18,76,17
3,3.8235294117647056,2.287459188823952,2.2874590141792424,2.287508695149279,10,10,11,9,6,12,7,15,40,16
0,0.0,2.1487717072700794,2.148771663359361,2.148803446794307,4,7,5,4,2,1,6,6,18,4
0,0.0,-0.2932661773521592,-0.2932663093708098,-0.2932116365264095,21,18,19,19,18,21,21,21,77,18
0,-0.19117647058823528,-0.4702580629542086,-0.47025844317817905,-0.4701793860611659,21,23,20,23,18,22,20,21,83,21
3,3.0,1.6560608099018985,1.6560605157124568,1.6561255253793101,10,12,10,13,12,8,15,10,52,14
1,1.536945812807882,0.498634180666012,0.4986339851431211,0.49872753177393125,16,16,12,17,15,16,16,13,64,18
0,0.0,-0.06030127629271748,-0.0603014078093636,-0.0602330260980634,14,18,13,15,11,17,18,19,56,15
-7,-7.28,-1.4956830087784412,-1.4956845690663547,-1.4955942142197423,3,7,5,3,2,6,7,4,8,5
0,0.6046511627906976,-0.00561199051235783,-0.00561220972432954,-0.00554461332048277,20,19,20,20,20,20,18,19,82,20
1,1.0358565737051793,0.6242081731073632,0.6242081348313756,0.6242487420731943,21,15,19,17,21,17,21,22,81,17
0,0.20233463035019456,-0.00772988186585072,-0.00773006477296299,-0.00765088072433511,18,20,21,18,21,19,21,20,78,21
3,3.8095238095238093,1.6035772306895157,1.6035770631826636,1.6036410745645704,20,17,17,20,21,24,19,20,93,22
-4,-4.333333333333333,-0.7408728625807292,-0.7408730319607505,-0.7408072425034917,6,3,5,3,2,4,6,4,11,4
0,0.557142857142857,0.03486231328891168,0.03486215886815081,0.03492652045391847,22,20,22,20,21,22,23,22,87,21
0,0.0,-0.21645174910874196,-0.2164532729978336,-0.21639835759097456,2,7,7,7,7,7,5,3,22,8
1,1.56,0.3178939356356202,0.3178932776736745,0.31793717182871917,3,7,10,7,10,9,8,6,32,8
0,-0.5131578947368421,-0.4701127415693414,-0.47011292761903706,-0.47004089830959733,24,24,24,22,24,24,23,24,92,23
-2,-2.3636363636363638,2.851741987422601,2.851741987422601,2.8517626416275097,2,3,1,1,1,1,3,3,5,2
-1,-1.4716981132075473,-0.9455574276174148,-0.9455577508122189,-0.9454648832241184,18,18,15,19,16,16,14,16,62,18
0,-0.49289099526066354,-0.3602582358891828,-0.3602584222758034,-0.36020570998527723,18,16,16,15,17,16,17,16,65,15
0,0.22707423580786024,0.3765109482071977,0.3765107303026278,0.37657510191893695,18,18,16,16,21,15,16,19,72,18
0,-0.966542750929368,-0.8536337613144471,-0.8536339842145928,-0.8535583845308754,23,19,22,21,21,22,20,20,81,20
-3,-3.561643835616439,0.3425666077119103,0.34256651353775375,0.34259167150418435,5,10,5,5,8,3,1,8,25,3
-10,-10.399999999999999,-4.209380713340202,-4.209380713340202,-4.209379406788757,1,7,4,2,2,4,2,4,8,1
2,2.244604316546763,1.4825389284075277,1.482538789564058,1.4825798384031668,12,10,9,6,11,12,15,10,43,11
3,3.0588235294117645,1.6524260896637306,1.6524260397721036,1.6524690437206644,10,7,8,9,12,12,10,14,47,7
5,5.199999999999999,3.5703969305404035,3.5703966963638183,3.5704473522745936,6,5,3,5,6,5,5,3,25,7
0,0.39543726235741444,-0.00407350574251327,-0.00407373692239132,-0.00399288486753093,18,22,20,19,21,21,20,20,80,22
0,0.0,-0.12900079038500686,-0.12900090364442984,-0.12895434999196553,22,23,23,19,23,21,24,22,91,19
-1,-1.1885714285714286,-1.2016736851911334,-1.2016746604632296,-1.2015966752686382,13,12,15,16,12,16,16,11,50,14
0,-0.393939393939394,-0.5325832966834086,-0.532583725057754,-0.5325108812917716,21,20,21,21,22,19,20,17,83,20
0,-0.803088803088803,-0.7331504801744095,-0.7331506759964258,-0.7330941169616522,23,18,21,20,20,20,20,19,80,18
0,0.9811320754716982,0.17947051766731975,0.17946996784334238,0.17955549769080761,18,12,17,16,16,17,19,14,65,18
0,0.0,-0.2233067532478645,-0.22330713704244937,-0.2232421873864396,17,18,19,19,21,20,20,18,72,22
1,1.2999999999999998,1.7252678838008986,1.7252678838008986,1.7252991319081026,4,4,3,3,1,3,3,3,13,3
0,0.7839195979899497,0.3681873659162224,0.3681868858430884,0.36825278763071273,13,14,18,15,16,14,11,19,63,16
4,4.444444444444445,2.213379048226461,2.2133787438458334,2.2134229125702016,10,9,8,9,3,12,5,12,39,10
0,0.5148514851485149,0.13026164220255704,0.13026123712963092,0.13033851778201422,24,22,24,22,23,22,24,24,94,24
2,2.819277108433735,1.7689282476761348,1.7689280755318924,1.7689668484906245,12,17,7,11,11,12,14,15,54,13
-2,-2.0526315789473686,-1.307775301870573,-1.3077757454960315,-1.3077186856863814,13,12,15,14,10,11,10,9,43,15
0,0.9043478260869565,0.6341476584856605,0.6341474529196922,0.6342324391997746,19,18,17,14,19,16,20,16,72,19
0,0.0,2.141781447903612,2.141781447903612,2.141781447903613,1,2,0,2,1,2,1,2,4,2
0,-0.4369747899159664,0.3542380303394046,0.3542379965562098,0.35427294597939923,11,12,5,7,10,10,8,12,39,5
2,2.8661417322834644,0.6492635724087884,0.6492630636792716,0.6493228738587703,6,8,10,11,8,13,14,7,38,12
0,0.17049180327868854,-0.13205112039252276,-0.13205131544891335,-0.131978507608097,23,23,24,23,24,23,23,24,94,24
0,0.196969696969697,0.23188253495500225,0.23188236300267623,0.23196795228337233,23,21,17,21,20,16,22,21,82,21
-2,-2.4375,-1.537081635014503,-1.5370817214661874,-1.5370401143297667,13,11,9,9,10,12,10,8,38,8
0,0.0,-0.19971759016084778,-0.19971780846961099,-0.199625005341817,22,22,20,20,17,20,22,19,80,21
0,0.0,-0.263073219920315,-0.2630734427819114,-0.26299524427228155,24,24,24,24,24,23,24,23,96,24
-10,-10.4,-5.389214180286623,-5.389214540577555,-5.38913927441818,11,8,7,10,8,6,8,6,23,3
0,-0.8,0.6319069514851113,0.6319065624678198,0.6319479617506616,3,5,4,5,9,4,4,6,21,4
0,-0.6265060240963854,-0.3067903464718081,-0.306790453369017,-0.3067456073857427,5,10,7,5,6,8,3,7,27,5
0,-0.7188940092165899,-0.7658734716164476,-0.7658739510902196,-0.7658164807283349,15,16,16,17,21,19,16,15,66,16
0,0.0,1.515091898816653,1.5150913144985978,1.5151296725988517,2,5,2,2,5,4,4,5,12,4
0,-0.2751322751322751,0.25903547274123667,0.25903530607463887,0.2591195918901869,17,14,17,11,15,12,14,16,58,15
0,0.0,1.624847644293229,1.6248472704396137,1.6248913446024087,6,2,4,1,5,5,7,3,14,4
3,3.586206896551724,2.1694178378580706,2.1694176905277485,2.169457917100228,14,10,10,7,10,13,9,11,49,12
0,0.6695278969957081,-0.15716211370927322,-0.1571625755591346,-0.15709908104129539,17,17,19,20,17,19,17,14,72,21
4,4.837209302325582,4.100695353233531,4.100695238217876,4.1007244034746035,4,3,1,4,3,2,3,4,15,4
0,0.7255813953488371,-0.04035806893117237,-0.04035829882146764,-0.04030273612921736,15,16,15,20,16,15,17,16,69,16
0,0.0,-0.28413391311038055,-0.28413411673250216,-0.28405901681982626,24,24,24,24,23,24,24,24,95,24
1,1.015625,0.3285359114174193,0.3285352498056208,0.32863360455360946,18,18,22,23,18,14,20,19,83,21
1,1.1818181818181819,4.310106907650343,4.310106173126202,4.310153026454818,4,8,0,2,3,3,1,5,14,4
-17,-17.333333333333332,-0.6187839887333723,-0.6187839887333705,-0.6187680052615062,6,2,1,1,1,2,0,0,4,1
-1,-1.0699588477366255,-0.5762977818721938,-0.5762981945044658,-0.5762223690472073,20,15,22,19,22,14,21,17,74,19
-3,-3.586206896551724,-1.952020673293813,-1.9520217051066802,-1.9519526187863405,9,10,9,12,10,10,6,8,31,11
-3,-3.4380165289256195,-2.02788362908758,-2.0278839074342287,-2.0278264637226107,7,11,13,8,11,9,11,9,36,6
0,-0.17391304347826086,-0.3483254607816593,-0.34832565632860557,-0.34825053928903094,23,23,22,23,23,24,24,24,90,23
0,-0.20717131474103587,-0.2708454603359223,-0.270845601170892,-0.2707637925296379,19,22,19,17,17,22,22,20,73,20
2,2.1311475409836063,1.4154457176953843,1.4154454953143192,1.4155109751958987,21,17,20,15,16,15,20,21,78,21
0,0.27956989247311825,0.3655212970242146,0.36552116414175784,0.3655787916043896,16,14,13,15,16,10,13,14,61,14
0,0.0,0.594115580470358,0.594115580470358,0.5941155804703553,0,1,2,2,3,2,1,0,8,0
0,0.0,-0.3308173938287237,-0.33081755608353053,-0.3307669249110832,19,22,23,20,21,20,21,20,86,19
0,0.6933333333333334,-0.02581726540336167,-0.02581780927704756,-0.02576200352529472,9,9,13,13,13,11,12,11,47,12
1,1.6697247706422018,1.0008997203308987,1.0008995318842095,1.000950938102161,17,14,16,16,20,14,15,16,74,16
-3,-3.466666666666667,-0.6417830790116958,-0.6417833070214864,-0.6417644087415835,1,5,1,3,3,3,0,3,10,1
0,-0.9043478260869565,1.2681499273848047,1.2681498881677908,1.2682229519874895,14,8,7,8,7,6,9,14,29,13
1,1.092436974789916,0.37211862447854666,0.372118057025964,0.3721890294578536,14,18,19,19,19,16,20,19,74,20
-8,-8.056338028169014,-4.280771227124716,-4.280774039075686,-4.280682615521534,6,7,6,9,3,7,6,7,17,3
2,2.08,0.6781426569771886,0.678142461864832,0.6782184548635299,16,18,14,19,15,19,15,18,72,19
-5,-5.571428571428572,-2.2666264144991515,-2.266627152774299,-2.266594976001979,6,4,3,6,7,2,4,4,18,2
1,1.25,0.41700258041787425,0.4170025089466339,0.417044941736156,16,13,15,17,16,14,18,17,68,14
-1,-1.6774193548387097,0.4548578079591741,0.45485780186584734,0.4548616335985114,2,2,2,2,3,3,6,1,9,1
1,1.114285714285714,0.5944548794712395,0.5944547598778679,0.5945421052881382,24,23,18,18,20,23,22,23,86,23
0,0.0,-0.3667997497386444,-0.36680013722372895,-0.366726018701904,17,19,17,21,21,18,21,15,75,20
-2,-2.4664031620553364,-1.5606402909739392,-1.5606405939293126,-1.5605817423203077,22,20,19,22,22,18,18,19,76,17
2,2.429906542056075,0.7660769434879979,0.7660768394501393,0.76613338662957,8,6,9,8,6,11,7,10,33,9
-2,-2.9545454545454546,-1.1710416453691095,-1.1710419032900572,-1.1709569878714268,15,14,16,13,15,11,14,15,48,15
0,0.5512367491166078,-0.07288137284230416,-0.07288153384023523,-0.07282017978433329,21,22,21,23,20,22,21,23,89,21
0,-0.8813559322033898,-0.5853706046742303,-0.5853709950692888,-0.5853285159873411,7,6,13,10,10,8,9,11,35,9
-7,-7.626666666666667,-3.9948950047924496,-3.994895270442986,-3.994821455645785,9,7,5,6,7,8,7,3,20,3
0,0.0,-0.06697530493793498,-0.06697598333403633,-0.06688700802554537,22,22,23,23,21,18,21,23,88,23
-2,-2.8363636363636364,-1.810126637170504,-1.810127060179415,-1.810087132541701,12,14,15,12,16,13,11,12,51,9
-1,-1.1428571428571428,-0.6581901763910702,-0.6581910431289608,-0.6581123243143939,15,12,13,16,17,12,15,13,54,15
5,5.571428571428571,3.674847644077826,3.6748473857398234,3.674872703589477,7,3,5,3,8,8,7,8,29,6
1,1.6560509554140128,1.1750740850990682,1.1750736466464153,1.1751321603628009,8,16,10,14,13,8,9,13,51,15
1,1.3164556962025318,0.1191047704314453,0.119104560495231,0.11916169068663775,18,13,19,20,18,19,19,17,76,18
1,1.793103448275862,0.7213782963799269,0.7213780383624335,0.7214417992121807,10,13,12,15,15,14,10,14,54,17
1,1.1223021582733814,-0.482045975866758,-0.4820461856773603,-0.48200363983820926,10,8,9,12,11,16,11,9,45,8
2,2.432748538011696,1.493060372396829,1.4930602305027163,1.4931064760890658,11,15,15,12,8,9,16,16,56,13
2,2.983606557377049,2.1450403299280927,2.1450402493302336,2.1450846787362323,10,6,10,6,9,8,12,13,38,10
-19,-19.314285714285713,-5.476462635698161,-5.4764653101180185,-5.476434621944709,5,3,2,6,4,4,3,1,6,1
3,3.0588235294117645,4.1342808857958975,4.1342808857958975,4.134280885795898,3,1,0,2,0,2,1,1,6,1
1,1.5918367346938775,0.876965039819499,0.876964579870521,0.8770157072980044,3,7,10,7,7,7,10,10,27,10
0,0.9285714285714286,0.21437312494846264,0.2143728524563116,0.21444691573758543,16,20,16,18,16,17,17,14,70,20
-3,-3.804878048780488,-0.19919530859752999,-0.1991961298363907,-0.19913078886666735,3,5,3,1,3,6,6,2,9,3
0,-0.8764044943820225,-0.5313587898489398,-0.531358874730605,-0.5313243085677648,15,15,12,12,16,14,15,12,56,11
0,0.0,-0.3346707351103985,-0.33467102937461324,-0.3345866809705231,18,21,23,19,20,21,21,18,79,22
0,0.5165562913907285,0.07349811885998718,0.07349758090379648,0.0735774292589632,23,24,24,23,22,22,21,24,95,24
0,0.3501683501683502,0.0385285337108708,0.03852838087469052,0.03861477989736002,23,24,22,22,22,22,24,23,91,24
-2,-2.9183673469387754,-1.7825752327355462,-1.7825754391244824,-1.7825402655302192,15,17,17,15,17,15,14,16,59,11
2,2.192771084337349,0.3686281955981124,0.368628079340517,0.3686668107271865,11,11,13,12,14,17,12,8,56,12
6,6.985074626865671,4.498738197792507,4.498738103254604,4.498763982997177,3,6,5,4,4,4,4,6,27,4
0,0.34210526315789475,-0.15367626256533756,-0.1536766811478586,-0.153595684424853,24,23,23,24,22,24,23,23,94,24
0,-0.7572815533980582,-0.5784524128578555,-0.5784527840289239,-0.578372625177401,16,17,15,18,14,16,15,18,61,16
0,0.9629629629629629,1.210241098971429,1.2102410310432918,1.2102833818618242,10,9,10,4,9,7,9,6,36,8
-1,-1.4796747967479675,-0.9220543249721264,-0.9220545942859877,-0.9220010528961716,20,16,18,20,22,19,22,20,72,17
-1,-1.5678391959798994,-0.9656746901422142,-0.9656750695767483,-0.9656221328305785,14,13,18,16,18,14,16,17,59,14
-3,-3.151515151515152,-1.1478828507685095,-1.1478853154752018,-1.1478102593189141,4,5,3,8,6,6,6,6,15,7
0,0.4369747899159664,0.3074746434203254,0.30747409842413204,0.30753263134256437,5,8,13,7,11,10,9,11,33,12
-5,-5.561497326203209,-2.990854151767675,-2.990854837312504,-2.9907580941564818,19,17,17,16,14,17,13,11,49,14
-9,-9.454545454545455,-0.5492897184970816,-0.5492943581562433,-0.5492124309755846,4,4,0,3,5,1,4,2,6,4
3,3.752577319587629,1.2439069784524261,1.2439068246735054,1.2439498937432323,3,6,8,8,9,10,6,6,35,6
-1,-1.1620111731843574,-0.34529553307319244,-0.34529581517698144,-0.3452423377029565,11,14,14,12,18,14,12,19,54,11
-1,-1.7727272727272727,-0.8643857391045346,-0.8643859561834818,-0.8643215480310186,15,15,13,15,14,12,10,16,53,13
-4,-4.588235294117647,-0.5258436295047754,-0.5258438030297208,-0.5258089716765442,3,6,2,2,1,3,3,3,9,2
8,8.666666666666666,2.251253776637113,2.251253776637113,2.251253776637113,3,1,1,2,0,4,1,1,11,0
0,0.6933333333333334,-0.08820837900388384,-0.08820867400293515,-0.08814048048543424,22,22,24,23,23,24,23,21,95,23
-3,-3.643312101910828,-2.590299344548249,-2.5903001348819945,-2.590258905775548,9,16,15,15,13,12,8,12,48,9
-3,-3.019354838709677,-1.3573897249480353,-1.357390231099654,-1.3573353346819985,10,16,11,11,14,13,12,15,42,11
-6,-6.058252427184466,-2.624261426359339,-2.624262408871732,-2.624197100259315,8,8,8,10,11,7,8,10,25,8
5,5.3061224489795915,4.3673237131134695,4.367323662635645,4.367335520182291,3,4,2,3,5,2,4,4,20,2
0,-0.6070038910505836,-0.7210692708854064,-0.7210696281777095,-0.7210164676266528,19,21,20,21,18,22,18,22,78,18
0,0.0,-0.22294619905007623,-0.2229462742293069,-0.2229054293186446,19,17,18,19,15,14,19,18,74,14
3,3.840909090909091,1.7787914476780995,1.7787913322571889,1.7788358319376827,14,10,13,15,12,13,11,11,64,13
3,3.4666666666666663,1.04183535616682,1.0418351535197443,1.0418742802578942,8,11,15,15,14,15,15,12,61,14
-2,-2.184873949579832,-1.5394703571122117,-1.5394711387103965,-1.5393768888205615,10,9,11,10,8,12,8,8,33,10
1,1.4494773519163764,0.3464342747066135,0.34643404600989947,0.3464909236063177,18,21,22,21,23,24,22,23,91,22
-5,-5.2,-1.4839705213493701,-1.483979495159663,-1.4839006447247698,5,1,7,6,3,2,3,6,12,5
0,0.0,-0.12950697362235322,-0.1295071453493722,-0.12944618710931813,23,24,20,23,22,20,22,23,91,21
-1,-1.2551724137931035,-0.7877068467853975,-0.7877071343655753,-0.7876305480010487,24,23,21,22,24,23,23,23,85,22
6,6.385964912280701,3.9202024125938193,3.9202017375115505,3.9202500264342786,6,3,4,2,3,7,3,4,17,8
0,0.0,-0.08171624168007409,-0.08171641840749279,-0.08167075936517841,11,11,12,12,10,9,9,12,46,10
-7,-7.672131147540983,-4.112776143097722,-4.112776481007044,-4.112682497780259,9,12,14,10,10,9,10,11,32,5
0,0.7819548872180452,0.10442550545946172,0.1044252237364937,0.10448175925409789,16,18,22,22,23,18,21,21,85,20
2,2.4644549763033177,0.948775980263109,0.9487758753867646,0.9488287700556481,14,14,16,15,15,17,17,19,68,16
2,2.4761904761904763,4.14645089791545,4.146449942721896,4.146473864232237,5,1,1,3,6,1,3,4,14,4
-1,-1.2037037037037035,-0.4330014337283959,-0.4330017946165717,-0.43293992795921016,16,16,20,15,19,14,19,16,61,20
5,5.6875,6.6309570520454635,6.630956695703533,6.63097557071419,5,4,3,6,2,1,4,12,20,7
0,0.9923664122137404,0.21755223950611743,0.21755201817966455,0.21761302246850908,18,19,22,19,21,20,19,20,84,20
-2,-2.311111111111111,-0.24288301807532267,-0.24288305386795553,-0.24285691857884356,6,2,5,3,2,3,4,4,14,2
0,-0.20800000000000002,-0.7306281506049968,-0.7306291169388724,-0.7305615476022006,16,18,21,22,20,21,18,18,77,19
-15,-15.166666666666666,-3.5476240506306587,-3.5476305419168606,-3.5475833446078453,4,2,5,3,10,3,5,6,7,3
2,2.280701754385965,2.3749210901181512,2.3749210159684693,2.374995019586072,11,8,9,6,6,8,12,9,29,16
-1,-1.9872611464968153,-1.2200997868988175,-1.2201001083215326,-1.220055763506098,10,11,11,14,14,13,14,16,46,8
0,0.8595041322314049,0.9411786869680699,0.9411777472482388,0.9412315301354933,10,6,11,11,11,6,5,10,37,14
0,0.5810055865921787,-0.01678605746747701,-0.0167865616769453,-0.01672365515093721,10,15,14,17,15,10,14,11,59,14
0,0.0,-0.2967782430060747,-0.29677855869907477,-0.2967153580656379,22,24,23,23,24,23,21,23,94,22
-1,-1.1304347826086958,1.7461879293870055,1.7461866788098732,1.7462330366498398,3,6,4,5,1,1,2,6,13,5
-11,-11.215686274509805,-5.052722331120015,-5.052724056527336,-5.052680865668668,3,3,8,5,6,2,6,4,12,2
0,-0.43333333333333335,-0.22837936272781797,-0.22837954817191491,-0.22832280136584024,10,8,12,8,8,9,10,10,36,9
1,1.647887323943662,0.6646594680735634,0.6646592931908217,0.6647405237787241,21,19,21,22,21,21,22,24,89,24
5,5.27536231884058,2.9474046611766695,2.9474045469497083,2.9474504308468346,9,7,11,9,11,9,12,9,49,12
-1,-1.1304347826086958,-0.730690535925081,-0.7306910000609931,-0.7306444073905659,8,8,4,11,3,8,9,9,26,6
3,3.7142857142857144,1.9424603789593153,1.9424600774114527,1.9425062934309776,7,9,4,9,11,12,4,8,38,10
-1,-1.8498023715415022,-1.0796082267189309,-1.0796085363609416,-1.0795428732011385,22,21,17,20,23,19,18,19,76,18
1,1.0558375634517767,0.6649206115842898,0.6649202473408462,0.6649785603665299,16,13,15,14,16,15,14,16,58,20
1,1.890909090909091,0.959987371531543,0.9599873436753309,0.9600326928424285,7,14,10,13,16,10,16,13,59,7
0,0.3795620437956204,0.18882246980410103,0.1888222044671149,0.1888989491390283,11,10,14,10,11,8,9,7,46,11
0,0.35738831615120276,-0.07983116075997969,-0.07983127370282642,-0.07977152183183085,21,23,20,23,23,23,22,24,90,22
-2,-2.871165644171779,-1.3416173514340672,-1.341617803732092,-1.3415437107307029,14,14,14,12,12,16,8,16,42,15
0,-0.3398692810457516,-0.5097866426213137,-0.5097869953668044,-0.5097028091926136,24,24,24,24,23,24,24,22,93,24
2,2.3947368421052633,0.9253608157987727,0.9253604868089783,0.9254191194261084,11,11,9,17,7,10,13,12,48,14
1,1.2786885245901638,0.3853613306739278,0.38536110194453255,0.38542608145439494,9,10,8,9,9,13,7,9,36,12
0,0.0,0.04084211831558381,0.04084206166890933,0.04088813222036763,14,13,12,11,12,15,13,17,50,12
